municipio,uf,Nome,latitude,longitude, Telefone
ÁGUAS LINDAS DE GOIÁS,GO,Estamos,-15.7379388562832,-48.2834444362152
ÁGUAS MORNAS,SC,Não Estamos,-27.7065971917498,-48.8405384028278
ÁGUAS VERMELHAS,MG,Não Estamos,-15.7453199451695,-41.45878830412
AGUDO,RS,Não Estamos,-29.6456633632496,-53.2586916877151
AGUDOS,SP,Não Estamos,-22.474037,-48.9901562879424
AGUDOS DO SUL,PR,Não Estamos,-25.9906180905957,-49.3387018845931
ÁGUIA BRANCA,ES,Não Estamos,-18.9873613695253,-40.7366381673749
AGUIAR,PB,Não Estamos,-7.09480576245307,-38.1775818446374
AGUIARNÓPOLIS,TO,Não Estamos,-6.5471708206181,-47.470456587945
AIMORÉS,MG,Não Estamos,-19.4919501492683,-41.0733274627961
AIQUARA,BA,Não Estamos,-14.1272774885543,-39.8857780091229
AIUABA,CE,Não Estamos,-6.56329844005168,-40.1231600775541
AIURUOCA,MG,Estamos,-21.9758966559157,-44.6028244646276
AJURICABA,RS,Não Estamos,-28.2377290066893,-53.7728188899873
ALAGOA,MG,Não Estamos,-22.1711356644334,-44.6380988671778
ALAGOA GRANDE,PB,Não Estamos,-7.036775,-35.6338919827495
ALAGOA NOVA,PB,Não Estamos,-7.05779882533355,-35.75945653982
ALAGOINHA,PB,Não Estamos,-6.94814040463241,-35.5454913506159
ALAGOINHA,PE,Não Estamos,-8.46627052298468,-36.7754560083166
ALAGOINHA DO PIAUÍ,PI,Não Estamos,-7.00817528014998,-40.9346348169192
ALAGOINHAS,BA,Não Estamos,-12.1341825924055,-38.4226157693395
ALAMBARI,SP,Não Estamos,-23.5538988926706,-47.8935883872336
ALBERTINA,MG,Não Estamos,-22.1997644819049,-46.6116025733674
ALCÂNTARA,MA,Não Estamos,-2.40327652507917,-44.4170125372846
ALCÂNTARAS,CE,Não Estamos,-3.58698376924817,-40.5446381225739
ALCANTIL,PB,Não Estamos,-7.74147703829654,-36.0606043308864
ALCINÓPOLIS,MS,Não Estamos,-18.3250339793628,-53.7080896262813
ALCOBAÇA,BA,Estamos,-17.5189333438062,-39.1942143206578
ALDEIAS ALTAS,MA,Não Estamos,-4.63077949515206,-43.4687348529398
ALECRIM,RS,Não Estamos,-27.6610744578017,-54.7670962217407
ALEGRE,ES,Estamos,-20.7632651351226,-41.5364883187663
ALEGRETE,RS,Não Estamos,-29.7820432091245,-55.7958701453331
ALEGRETE DO PIAUÍ,PI,Não Estamos,-7.2453494663005,-40.8578629896146
ALEGRIA,RS,Não Estamos,-27.8372999563703,-54.0573664131385
ALÉM PARAÍBA,MG,Não Estamos,-21.8768037118642,-42.6959466024573
ALENQUER,PA,Não Estamos,-1.951397505,-54.7408623501896
ALEXANDRIA,RN,Não Estamos,-6.41713633794429,-38.0192888913064
ALEXÂNIA,GO,Não Estamos,-16.0861676205662,-48.5096363918634
ALFENAS,MG,Estamos,-21.4281781229191,-45.9489181992359
ALFREDO CHAVES,ES,Não Estamos,-20.630347537232,-40.7600496463911
ALFREDO MARCONDES,SP,Não Estamos,-21.9527411236002,-51.4129380665063
ALFREDO VASCONCELOS,MG,Não Estamos,-21.1394234648344,-43.7738899527392
ALFREDO WAGNER,SC,Não Estamos,-27.7053963320374,-49.3438123011528
ALGODÃO DE JANDAÍRA,PB,Não Estamos,-6.90469403776756,-36.0060933987894
